CNVD-2019-16727,https://www.cnvd.org.cn/flaw/show/CNVD-2019-16727,2019-06-06,中AV:N/AC:M/Au:N/C:N/I:P/A:N,CVE-2008-2247,Microsoft Outlook Web Access for Exchange Server Email Field XSS注入漏洞,Microsoft Outlook Web Access for Exchange Server;,Microsoft Exchange Server是一款流行的邮件服务器，Outlook Web Access是Exchange中用于通过Web浏览器读取和发送邮件的工具。Outlook Web Access for Exchange Server中存在跨站脚本漏洞，允许在Exchange Server连接的OWA客户端上获得权限提升。如果要利用此漏洞，攻击者必须能够诱骗用户从单个OWA客户端中打开运行恶意脚本的特制电子邮件。如果执行了恶意脚本的话，则将在用户的OWA会话的安全上下文中运行，并能够以登录用户的身份执行用户可执行的任何操作，例如读取、发送和删除电子邮件。,通用型漏洞,https://www.securityfocus.com/bid/30130 http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2008-2247 https://products.office.com/en-US/exchange/ http://blogs.technet.com/swi/archive/2008/07/08/MS08-039-which-users-are-vulnerable-to-OWA-XSS-vulnerability.aspx /archive/1/494131 http://support.avaya.com/elmodocs2/security/ASA-2008-290.htm http://seclists.org/fulldisclosure/2008/Jul/0135.html http://www.microsoft.com/technet/security/bulletin/MS08-039.mspx,目前厂商未提供修复方案，请关注厂商主页：https://www.microsoft.com/zh-cn/
CNVD-2014-06345,https://www.cnvd.org.cn/flaw/show/CNVD-2014-06345,2014-09-25,高AV:N/AC:L/Au:N/C:C/I:C/A:C,CVE-2014-6271,GNU Bash远程代码执行漏洞,Gnu bash 1.14.0-1.14.7;Gnu bash 2.0-2.05;Gnu bash 3.0-3.2.48;Gnu bash 4.0-4.3;,GNU Bash（Bourne again shell）是一个命令语言解释器，能够从标准输入设备或文件读取、执行命令，结合部分ksh 和csh特点，同时也执行IEEE POSIX Shell（IEEE Working Group 1003.2）规范。GNU Bash 4.3及之前版本存在安全漏洞，可能导致cgi程序在服务器上发送恶意的http请求，允许攻击者利用漏洞执行任意代码。该漏洞产生的原因是bash在完成函数定义后并未退出，而是继续解析并执行shell命令，导致漏洞产生严重后果。,通用型漏洞,http://www.securityfocus.com/bid/70103,请广大用户关注厂商官网及时下载升级程序：http://www.gnu.org/software/bash/
CNVD-2014-08772,https://www.cnvd.org.cn/flaw/show/CNVD-2014-08772,2014-12-09,高AV:N/AC:L/Au:N/C:N/I:N/A:C,CVE-2014-8500,BIND拒绝服务漏洞,ISC Bind 9 9.0.x -> 9.8.x;ISC Bind 9 9.9.0 -> 9.9.6;ISC Bind 9 9.10.0 -> 9.10.1;,BIND（Berkeley Internet Name Daemon）是一款互联网上最常使用的DNS服务器软件。BIND存在拒绝服务漏洞，通过利用恶意构造的域或者欺骗服务器的方式，攻击者可利用BIND 9中的代码监控来跟踪域名服务中的代理器，这会使BIND无限制查询并力图跟踪代理器，导致资源耗竭，BIND崩溃。,通用型漏洞,https://kb.isc.org/article/AA-01216,目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：https://kb.isc.org/article/AA-01223/81/BIND-9.10.1-P1-Release-Notes.html
CNVD-2019-02487,https://www.cnvd.org.cn/flaw/show/CNVD-2019-02487,2019-01-23,中AV:N/AC:M/Au:N/C:P/I:P/A:P,CVE-2016-10739,GNU C Library存在未明漏洞,Gnu C Library;,GNU C Library（又名glibc，libc6）是一种按照LGPL许可协议发布的开源免费的C语言编译程序。GNU C Library 2.28及之前版本中存在安全漏洞，该漏洞源于在成功解析含有IPv4地址的字符串时，程序会认定该字符串仅含有IPv4地址。目前没有详细的漏洞细节提供。,通用型漏洞,https://bugzilla.redhat.com/show_bug.cgi?id=1347549,目前厂商已修复该漏洞，详情请关注厂商主页：https://sourceware.org/git/?p=glibc.git;a=blob_plain;f=NEWS;hb=HEAD
CNVD-2018-04330,https://www.cnvd.org.cn/flaw/show/CNVD-2018-04330,2018-03-06,中AV:N/AC:L/Au:N/C:N/I:N/A:P,CVE-2017-3144,ISC DHCP OMAPI Connections拒绝服务漏洞,ISC DHCP >=4.1.0，<=4.1-ESV-R15;ISC DHCP >=4.2.0，<=4.2.8;ISC DHCP >=4.3.0，<=4.3.6;,ISC DHCP是美国Internet Systems Consortium（ISC）公司的一套开源的动态主机配置协议服务器软件。ISC DHCP 4.1.0版本至4.1-ESV-R15版本、4.2.0版本至4.2.8版本和4.3.0版本至4.3.6版本中存在远程拒绝服务漏洞。远程攻击者可利用该漏洞造成拒绝服务（资源耗尽）。,通用型漏洞,https://tools.cisco.com/security/center/viewAlert.x?alertId=56483,目前厂商已发布升级补丁以修复漏洞，补丁获取链接：https://kb.isc.org/article/AA-01541
CNVD-2018-16488,https://www.cnvd.org.cn/flaw/show/CNVD-2018-16488,2018-08-28,中AV:N/AC:L/Au:N/C:N/I:N/A:P,CVE-2018-1000654,GNU Libtasn1拒绝服务漏洞,Gnu Libtasn1 4.13;,GNU Libtasn1是软件开发者Fabio Fiorina所研发的一个用于GnuTLS（实现SSL、TLS和DTLS协议的安全通信库）中的ASN.1结构管理库。GNU Libtasn1-4.13版本中存在拒绝服务漏洞。攻击者可借助特制的文件利用该漏洞造成拒绝服务。,通用型漏洞,https://nvd.nist.gov/vuln/detail/CVE-2018-1000654,厂商尚未提供漏洞修复方案，请关注厂商主页更新：https://www.gnu.org/software/libtasn1/
CNVD-2017-12537,https://www.cnvd.org.cn/flaw/show/CNVD-2017-12537,2017-07-03,中AV:N/AC:L/Au:N/C:N/I:P/A:N,CVE-2017-3143,ISC BIND安全绕过漏洞（CNVD-2017-12537）,ISC BIND >=9.4.0，<=9.8.8;ISC BIND >=9.9.0，<=9.9.10-P1;ISC BIND >=9.10.0，<=9.10.5-P1;ISC BIND >=9.11.0，<=9.11.1-P1;ISC BIND >=9.9.3-S1，<=9.9.10-S2;ISC BIND >=9.10.5-S1，<=9.10.5-S2;,BIND是一种开源的DNS（Domain Name System）协议的实现，包含对域名的查询和响应所需的所有软件。它是互联网上最广泛使用的一种DNS服务器。ISC BIND存在安全绕过漏洞。攻击者可以利用该漏洞执行未经授权的操作，从而发起进一步攻击。,通用型漏洞,http://www.securityfocus.com/bid/99337,用户可联系供应商获得补丁信息：http://www.isc.org/downloads
CNVD-2018-04350,https://www.cnvd.org.cn/flaw/show/CNVD-2018-04350,2018-03-06,高AV:N/AC:L/Au:N/C:N/I:N/A:C,CVE-2017-3145,ISC BIND远程拒绝服务漏洞（CNVD-2018-04350）,ISC BIND >=9.0.0，<=9.8.x;ISC BIND >=9.9.0，<=9.9.11;ISC BIND >=9.10.0 ，<=9.10.6;ISC BIND >=9.11.0，<=9.11.2;ISC BIND >=9.9.3-S1，<=9.9.11-S1;ISC BIND >=9.10.5-S1，<=9.10.6-S1;ISC BIND >=9.12.0a1，<=9.12.0rc1;,ISC BIND是美国Internet Systems Consortium（ISC）公司所维护的一套实现了DNS协议的开源软件。ISC BIND中存在远程拒绝服务漏洞。远程攻击者可利用该漏洞造成拒绝服务。,通用型漏洞,https://www.debian.org/security/2018/dsa-4089,目前厂商已发布升级补丁以修复漏洞，补丁获取链接：https://kb.isc.org/article/AA-01542
CNVD-2018-06542,https://www.cnvd.org.cn/flaw/show/CNVD-2018-06542,2018-03-28,高AV:N/AC:L/Au:N/C:N/I:N/A:C,CVE-2018-5732,ISC DHCP缓冲区溢出漏洞,ISC DHCP 4.1.0 - 4.1-ESV-R15;ISC DHCP 4.2.0 - 4.2.8;ISC DHCP 4.3.0 - 4.3.6;ISC DHCP 4.4.0;,ISC DHCP是一个实现用于连接到IP网络的动态主机配置协议的开源软件。ISC DHCP存在缓冲区溢出漏洞。攻击者可通过远程服务器返回特制响应，从而可触发DHCP选项处理发生缓冲区溢出，从而可导致目标dhclient崩溃。,通用型漏洞,https://kb.isc.org/article/AA-01565/75/CVE-2018-5732,厂商已发布漏洞修复程序，请及时关注更新：https://kb.isc.org/article/AA-01565/75/CVE-2018-5732
CNVD-2018-06543,https://www.cnvd.org.cn/flaw/show/CNVD-2018-06543,2018-03-28,高AV:N/AC:L/Au:N/C:N/I:N/A:C,CVE-2018-5733,ISC DHCP引用计数器溢出漏洞,ISC DHCP 4.1.0 - 4.1-ESV-R15;ISC DHCP 4.2.0 - 4.2.8;ISC DHCP 4.3.0 - 4.3.6;ISC DHCP 4.4.0;,ISC DHCP是一个实现用于连接到IP网络的动态主机配置协议的开源软件。ISC DHCP存在引用计数器溢出漏洞。远程用户可通过向目标服务器发送大量数据触发引用计数器溢出，从而可导致目标dhcpd服务消耗所有可用内存并崩溃。,通用型漏洞,https://kb.isc.org/article/AA-01567/75/CVE-2018-5733,厂商已发布漏洞修复程序，请及时关注更新：https://kb.isc.org/article/AA-01567/75/CVE-2018-5733
CNVD-2018-06544,https://www.cnvd.org.cn/flaw/show/CNVD-2018-06544,2018-03-28,高AV:N/AC:L/Au:N/C:N/I:N/A:C,CVE-2018-5734,ISC BIND拒绝服务漏洞（CNVD-2018-06544）,ISC BIND 9.10.5-S1 - 9.10.5-S4;ISC BIND 9.10.6-S1;ISC BIND 9.10.6-S2;,BIND是开源软件，可让您在Internet上发布您的域名系统（DNS）信息，并为您的用户解析DNS查询。ISC BIND存在拒绝服务漏洞，该漏洞是由于'badcache.c'中的逻辑缺陷所致。攻击者可以将特制数据包发送到目标服务器，以触发'badcache.c'中的逻辑缺陷并导致目标服务崩溃。,通用型漏洞,https://kb.isc.org/article/AA-01562/74/CVE-2018-5734,厂商已发布漏洞修复程序，请及时关注更新：https://kb.isc.org/article/AA-01562/74/CVE-2018-5734
CNVD-2018-14417,https://www.cnvd.org.cn/flaw/show/CNVD-2018-14417,2018-08-01,中AV:N/AC:H/Au:N/C:N/I:N/A:C,CVE-2018-5737,ISC BIND拒绝服务漏洞（CNVD-2018-14417）,ISC BIND 9.12.0;ISC BIND 9.12.1;,ISC BIND是美国Internet Systems Consortium（ISC）公司所维护的一套实现了DNS协议的开源软件。ISC BIND中存在拒绝服务漏洞。远程攻击者可利用该漏洞造成拒绝服务。,通用型漏洞,https://securitytracker.com/id/1040942,厂商已发布了漏洞修复程序，请及时关注更新：https://kb.isc.org/article/AA-01606/74/CVE-2018-5737
CNVD-2018-14416,https://www.cnvd.org.cn/flaw/show/CNVD-2018-14416,2018-08-01,中AV:N/AC:H/Au:N/C:N/I:N/A:C,CVE-2018-5736,ISC BIND拒绝服务漏洞（CNVD-2018-14416）,ISC BIND 9.12.0;ISC BIND 9.12.1;,ISC BIND是美国Internet Systems Consortium（ISC）公司所维护的一套实现了DNS协议的开源软件。ISC BIND存在拒绝服务漏洞，该漏洞是由于BIND从属区域传输处理缺陷所致，攻击者可利用该漏洞导致目标‘命名’服务崩溃。,通用型漏洞,https://securitytracker.com/id/1040941,厂商已发布了漏洞修复程序，请及时关注更新：http://kb.isc.org/article/AA-01602/74/CVE-2018-5736
CNVD-2018-17514,https://www.cnvd.org.cn/flaw/show/CNVD-2018-17514,2018-09-05,中AV:N/AC:L/Au:N/C:N/I:N/A:P,CVE-2018-5740,ISC BIND拒绝服务漏洞（CNVD-2018-17514）,ISC BIND >=9.7.0，<=9.8.8;ISC BIND >=9.9.0，<=9.9.13;ISC BIND >=9.10.0，<=9.10.8;ISC BIND >=9.11.0，<=9.11.4;ISC BIND >=9.12.0，<=9.12.2;ISC BIND >=9.13.0，<=9.13.2;,ISC BIND是美国Internet Systems Consortium（ISC）公司所维护的一套实现了DNS协议的开源软件。ISC BIND中存在拒绝服务漏洞。远程攻击者可利用该漏洞造成拒绝服务。,通用型漏洞,http://www.securityfocus.com/bid/105055,厂商已发布漏洞修复程序，请及时关注更新：https://kb.isc.org/article/AA-01639/0
CNVD-2018-19398,https://www.cnvd.org.cn/flaw/show/CNVD-2018-19398,2018-09-20,中AV:N/AC:L/Au:S/C:N/I:C/A:N,CVE-2018-5741,ISC BIND 9 krb5-subdomain and ms-subdomain更新策略漏洞,ISC BIND 9;,ISC BIND是美国Internet Systems Consortium（ISC）公司所维护的一套实现了DNS协议的开源软件。为了对使用动态DNS（DDNS）更新区域中的记录的能力提供细粒度控制，BIND提供了一个名为update-policy的功能。可以配置各种规则来限制客户端可以执行的更新类型，具体取决于发送更新请求时使用的密钥。不幸的是，有些规则类型最初没有记录，当它们的文档在变更＃3112中添加到管理员参考手册（ARM）时，当时添加到ARM的语言错误地描述了两种规则类型的行为，krb5 -subdomain和ms-subdomain。这种不正确的文档可能会误导操作员相信他们配置的策略比实际更严格。,通用型漏洞,https://kb.isc.org/docs/cve-2018-5741,目前没有详细的解决方案提供：https://www.isc.org/downloads/bind/
CNVD-2019-01738,https://www.cnvd.org.cn/flaw/show/CNVD-2019-01738,2019-01-17,中AV:N/AC:L/Au:N/C:P/I:N/A:N,CVE-2018-5738,ISC BIND敏感信息泄露漏洞,ISC BIND 9.9.12;ISC BIND 9.10.7;ISC BIND 9.11.3;ISC BIND 9.12.0;9.12.1-P2;ISC BIND 9.12.1-P2;,ISC BIND是美国Internet Systems Consortium（ISC）公司所维护的一套实现了DNS协议的开源软件。BIND存在敏感信息泄露漏洞，该漏洞是由于BIND递归访问控制缺陷所致，攻击者可利用该漏洞获得关于以前的名称服务器查询的潜在敏感信息。,通用型漏洞,https://securitytracker.com/id/1041115,厂商已发布了漏洞修复程序，请及时关注更新：http://kb.isc.org/article/AA-01616
CNVD-2019-02948,https://www.cnvd.org.cn/flaw/show/CNVD-2019-02948,2019-01-25,中AV:N/AC:L/Au:N/C:N/I:N/A:P,CVE-2018-6951,GNU patch 'intuit_diff_type'函数拒绝服务漏洞,GNU patch <=2.6.1;,GNU patch是GNU项目的一部分，它是一套用于生成补丁文件的工具。GNU patch 2.7.6及之前版本中的pch.c文件的'intuit_diff_type'函数存在安全漏洞。远程攻击者可利用该漏洞造成拒绝服务（空指针逆向引用）。,通用型漏洞,http://www.securityfocus.com/bid/103044,目前厂商已发布升级补丁以修复漏洞，补丁获取链接：https://savannah.gnu.org/bugs/index.php?53132
CNVD-2019-03428,https://www.cnvd.org.cn/flaw/show/CNVD-2019-03428,2019-01-30,低AV:L/AC:L/Au:N/C:N/I:N/A:P,CVE-2018-20482,GNU tar拒绝服务漏洞,Gnu Tar <=1.30;,GNU Tar是GNU计划开发的一套用于创建tar格式文件的工具。GNU Tar 1.30及之前版本中存在安全漏洞，该漏洞源于程序未能正确地处理文件的收缩过程。本地攻击者可通过修改文件利用该漏洞造成拒绝服务（sparse.c文件的‘sparse_dump_region’函数无限读取循环）。,通用型漏洞,https://nvd.nist.gov/vuln/detail/CVE-2018-20482,厂商尚未提供漏洞修复方案，请关注厂商主页更新：https://www.gnu.org/software/tar/
CNVD-2019-03429,https://www.cnvd.org.cn/flaw/show/CNVD-2019-03429,2019-01-30,低AV:L/AC:L/Au:N/C:P/I:N/A:N,CVE-2018-20483,GNU Wget信息泄露漏洞,Gnu wget <1.20.1;,GNU Wget是GNU计划开发的一套用于在网络上进行下载的自由软件，它支持通过HTTP、HTTPS以及FTP这三个最常见的TCP/IP协议下载。GNU Wget 1.20.1之前版本中的xattr.c文件的‘set_file_metadata’函数存在安全漏洞，该漏洞源于程序将文件的原始URL存储在user.xdg.origin.url元数据属性中。本地攻击者可通过读取该属性利用该漏洞获取敏感信息（包括：URL中所包含的凭证）。,通用型漏洞,https://nvd.nist.gov/vuln/detail/CVE-2018-20483,厂商已发布漏洞修复程序，请及时关注更新：http://git.savannah.gnu.org/cgit/wget.git/tree/NEWS
CNVD-2019-05888,https://www.cnvd.org.cn/flaw/show/CNVD-2019-05888,2019-03-01,低AV:L/AC:M/Au:N/C:P/I:N/A:N,CVE-2018-10846,GnuTLS明文恢复漏洞,Gnu Gnutls;,GnuTLS是一个免费的用于实现SSL、TLS和DTLS协议的安全通信库。GnuTLS实现中存在安全漏洞。攻击者可借助特制的数据包利用该漏洞恢复明文内容。,通用型漏洞,https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2018-10846,厂商已发布了漏洞修复程序，请及时关注更新：https://www.gnutls.org/
CNVD-2019-05885,https://www.cnvd.org.cn/flaw/show/CNVD-2019-05885,2019-03-01,低AV:L/AC:M/Au:N/C:P/I:P/A:N,CVE-2018-16868,GnuTLS信息泄露漏洞,Gnu Gnutls;,GnuTLS是一个免费的用于实现SSL、TLS和DTLS协议的安全通信库。GnuTLS中处理RSA解密数据（PKCS#1 v1.5版本）验证的方法存在安全漏洞。攻击者可利用该漏洞提取明文信息或对连接实施降级攻击。,通用型漏洞,https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2018-16868,目前厂商暂未发布修复措施解决此安全问题，建议使用此软件的用户随时关注厂商主页或参考网址以获取解决办法：https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2018-16868
CNVD-2019-07013,https://www.cnvd.org.cn/flaw/show/CNVD-2019-07013,2019-03-13,低AV:L/AC:L/Au:N/C:N/I:N/A:P,CVE-2019-7309,GNU C Library本地拒绝服务漏洞,Gnu C Library <=2.29;,GNU C Library (glibc)是一种按照LGPL许可协议发布的、开源、免费、方便从网络下载的C的编译程序。GNU C Library 2.29及更早版本中的x32架构的memcmp函数存在本地拒绝服务漏洞，攻击者可以利用此问题导致拒绝服务情况。,通用型漏洞,https://nvd.nist.gov/vuln/detail/CVE-2019-7309,厂商尚未提供漏洞修复方案，请关注厂商主页更新：https://www.gnu.org/software/libc/
CNVD-2019-07014,https://www.cnvd.org.cn/flaw/show/CNVD-2019-07014,2019-03-13,高AV:N/AC:L/Au:N/C:P/I:P/A:P,CVE-2019-9169,GNU C Library堆缓冲区溢出漏洞,Gnu C Library <=2.29;,GNU C Library（glibc，libc6）是一种按照LGPL许可协议发布的开源免费的C语言编译程序。GNU C Library 2.29及之前版本中的posix/regexec.c文件的proceed_next_node存在安全漏洞。攻击者可以利用漏洞在受影响的应用程序上下文中执行任意代码。失败的攻击尝试将导致拒绝服务条件。,通用型漏洞,https://nvd.nist.gov/vuln/detail/CVE-2019-9169,厂商已发布漏洞修复程序，请及时关注更新：https://sourceware.org/git/gitweb.cgi?p=glibc.git;a=commit;h=583dd860d5b833037175247230a328f0050dbfe9
CNVD-2019-09072,https://www.cnvd.org.cn/flaw/show/CNVD-2019-09072,2019-04-04,中AV:N/AC:M/Au:N/C:P/I:P/A:P,CVE-2019-5953,GNU Wget缓冲区溢出漏洞,Gnu wget <=1.20.1;,GNU Wget是GNU计划开发的一套用于在网络上进行下载的自由软件，它支持通过HTTP、HTTPS以及FTP这三个最常见的TCP/IP协议下载。GNU Wget存在缓冲区溢出漏洞。攻击者可利用漏洞导致拒绝服务（DoS）或执行任意代码。,通用型漏洞,https://jvn.jp/en/jp/JVN25261088/,用户可参考如下供应商提供的安全公告获得补丁信息：https://jvn.jp/en/jp/JVN25261088/
CNVD-2019-14428,https://www.cnvd.org.cn/flaw/show/CNVD-2019-14428,2019-05-16,高AV:L/AC:L/Au:N/C:C/I:C/A:C,CVE-2019-9924,Bash输入验证错误漏洞,Gnu bash < 4.4-beta2;,Bash是美国布莱恩-福克斯（Brian J. Fox）软件开发者的一款为GNU计划而编写的、运行于类Unix操作系统中的Shell（命令语言解释器）。它能够从标准输入设备或文件中读取、执行命令。Bash 4.4-beta2之前版本中存在安全漏洞。目前没有详细的漏洞细节提供。,通用型漏洞,https://nvd.nist.gov/vuln/detail/CVE-2019-9924,目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：http://git.savannah.gnu.org/cgit/bash.git/tree/CHANGES?h=bash-4.4-testing#n65https://bugs.launchpad.net/ubuntu/+source/bash/+bug/1803441https://lists.debian.org/debian-lts-announce/2019/03/msg00028.html
CNVD-2014-08824,https://www.cnvd.org.cn/flaw/show/CNVD-2014-08824,2014-12-11,中AV:N/AC:M/Au:N/C:P/I:N/A:N,CVE-2014-8730,TLS填充中间人攻击漏洞,"F5 Networks, Inc. TLS 1.2;",TLS是IETF(工程任务组)制定的一种新的协议，它建立在SSL协议规范之上，是SSL后续版本。安全传输层协议（TLS）用于在两个通信应用程序之间提供保密性和数据完整性。TLS存在安全漏洞，主要影响浏览器。由于TLS1.2未能正确校验PADDING，导致攻击者即使不先降级到SSL3.0，也能通过TLS1.2，用中间人攻击方法绕过传输层加密机制，窃取用户的敏感信息，例如cookies信息，帐号信息等。,通用型漏洞,https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2014-8730,用户可参考如下供应商提供的安全公告获得补丁信息：http://www.ijindun.com/News/gonggao/2014/1211/181365.html
CNVD-2015-00719,https://www.cnvd.org.cn/flaw/show/CNVD-2015-00719,2015-01-28,高AV:N/AC:L/Au:N/C:C/I:C/A:C,CVE-2015-0235,GNU glibc远程堆缓冲区溢出漏洞,GNU glibc;,GNU glibc是一款Linux操作系统中C库的实现。GNU glibc存在远程堆缓冲区溢出漏洞，攻击者可以利用此漏洞在受影响应用程序的上下文中执行任意代码。,通用型漏洞,https://www.qualys.com/research/security-advisories/GHOST-CVE-2015-0235.txt,目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：http://www.gnu.org/software/libc/
CNVD-2012-6043,https://www.cnvd.org.cn/flaw/show/CNVD-2012-6043,2012-10-24,中,Null,FirePass SSL VPN 'refreshURL'参数URI重定向漏洞,"F5 Networks, Inc. FirePass SSL VPN null;","F5 Networks FirePass SSL VPN是一款VPN远程访问解决方案。F5 Networks FirePass SSL VPN应用程序未能正确校验提交给""my.activation.cns.php3"" 脚本的""refreshURL""参数，允许攻击者构建特制URL，诱使目标用户点击，可重定向用户通信，进行钓鱼等攻击。",通用型漏洞,http://seclists.org/fulldisclosure/2012/Oct/148,
CNVD-2019-12557,https://www.cnvd.org.cn/flaw/show/CNVD-2019-12557,2019-04-28,中AV:N/AC:L/Au:N/C:P/I:N/A:P,CVE-2019-9775,GNU LibreDWG缓冲区溢出漏洞（CNVD-2019-12557）,GNU LibreDWG 0.7;GNU LibreDWG 0.7.1645;,GNU LibreDWG是GNU计划的一个用于处理DWG文件的C语言库。GNU LibreDWG 0.7版本和0.7.1645版本中的dwg.spec文件的‘dwg_dxf_BLOCK_CONTROL’函数存在缓冲区溢出漏洞。攻击者可利用该漏洞造成拒绝服务或泄露信息。,通用型漏洞,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-9775,厂商尚未提供漏洞修复方案，请关注厂商主页更新：https://savannah.gnu.org/projects/libredwg/
CNVD-2019-12552,https://www.cnvd.org.cn/flaw/show/CNVD-2019-12552,2019-04-28,中AV:N/AC:L/Au:S/C:P/I:N/A:P,CVE-2019-9774,GNU LibreDWG缓冲区溢出漏洞（CNVD-2019-12552）,GNU LibreDWG 0.7;GNU LibreDWG 0.7.1645;,GNU LibreDWG是GNU计划的一个用于处理DWG文件的C语言库。GNU LibreDWG 0.7版本和0.7.1645版本中的bits.c文件的‘bit_read_B’函数存在缓冲区溢出漏洞。攻击者可利用该漏洞造成拒绝服务或泄露信息。,通用型漏洞,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-9774,厂商尚未提供漏洞修复方案，请关注厂商主页更新：https://savannah.gnu.org/projects/libredwg/
CNVD-2019-12559,https://www.cnvd.org.cn/flaw/show/CNVD-2019-12559,2019-04-28,中AV:N/AC:L/Au:N/C:N/I:N/A:P,CVE-2019-9777,GNU LibreDWG缓冲区溢出漏洞（CNVD-2019-12559）,GNU LibreDWG 0.7;GNU LibreDWG 0.7.1645;,GNU LibreDWG是GNU计划的一个用于处理DWG文件的C语言库。GNU LibreDWG 0.7版本和0.7.1645版本中的header_variables_dxf.spec文件的‘dxf_header_write’函数存在缓冲区溢出漏洞。攻击者可利用该漏洞造成拒绝服务（基于堆的缓冲区越界读取）。,通用型漏洞,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-9777,厂商尚未提供漏洞修复方案，请关注厂商主页更新：https://savannah.gnu.org/projects/libredwg/
CNVD-2019-12558,https://www.cnvd.org.cn/flaw/show/CNVD-2019-12558,2019-04-28,中AV:N/AC:L/Au:N/C:N/I:N/A:P,CVE-2019-9776,GNU LibreDWG空指针逆向引用漏洞（CNVD-2019-12558）,GNU LibreDWG 0.7;GNU LibreDWG 0.7.1645;,GNU LibreDWG是GNU计划的一个用于处理DWG文件的C语言库。GNU LibreDWG 0.7版本和0.7.1645版本中的dwg.spec文件的‘dwg_dxf_LTYPE’函数存在空指针逆向引用漏洞。攻击者可利用该漏洞造成拒绝服务。,通用型漏洞,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-9776,厂商尚未提供漏洞修复方案，请关注厂商主页更新：https://savannah.gnu.org/projects/libredwg/
CNVD-2019-12551,https://www.cnvd.org.cn/flaw/show/CNVD-2019-12551,2019-04-28,中AV:N/AC:L/Au:N/C:N/I:N/A:P,CVE-2019-9773,GNU LibreDWG堆缓冲区溢出漏洞,GNU LibreDWG 0.7;GNU LibreDWG 0.7.1645;,GNU LibreDWG是GNU计划的一个用于处理DWG文件的C语言库。GNU LibreDWG 0.7版本和0.7.1645版本中的decode.c文件的‘dwg_decode_eed_data’函数存在缓冲区溢出漏洞。攻击者可利用该漏洞造成拒绝服务。,通用型漏洞,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-9773,厂商尚未提供漏洞修复方案，请关注厂商主页更新：https://savannah.gnu.org/projects/libredwg/
CNVD-2019-12550,https://www.cnvd.org.cn/flaw/show/CNVD-2019-12550,2019-04-28,中AV:N/AC:L/Au:N/C:N/I:N/A:P,CVE-2019-9772,GNU LibreDWG空指针逆向引用漏洞（CNVD-2019-12550）,GNU LibreDWG 0.7;GNU LibreDWG 0.7.1645;,GNU LibreDWG是GNU计划的一个用于处理DWG文件的C语言库。GNU LibreDWG 0.7版本和0.7.1645版本中的dwg.spec文件的‘dwg_dxf_LEADER’函数存在空指针逆向引用漏洞。攻击者可利用该漏洞造成拒绝服务。,通用型漏洞,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-9772,厂商尚未提供漏洞修复方案，请关注厂商主页更新：https://savannah.gnu.org/projects/libredwg/
CNVD-2019-12549,https://www.cnvd.org.cn/flaw/show/CNVD-2019-12549,2019-04-28,中AV:N/AC:L/Au:N/C:N/I:N/A:P,CVE-2019-9771,GNU LibreDWG空指针解引用漏洞（CNVD-2019-12549）,GNU LibreDWG 0.7;GNU LibreDWG 0.7.1645;,GNU LibreDWG是GNU计划的一个用于处理DWG文件的C语言库。GNU LibreDWG 0.7版本和0.7.1645版本中的bits.c文件的‘bit_convert_TU’函数存在空指针逆向引用漏洞。攻击者可利用该漏洞造成拒绝服务。,通用型漏洞,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-9771,厂商尚未提供漏洞修复方案，请关注厂商主页更新：https://savannah.gnu.org/projects/libredwg/
CNVD-2019-12548,https://www.cnvd.org.cn/flaw/show/CNVD-2019-12548,2019-04-28,中AV:N/AC:L/Au:N/C:N/I:N/A:P,CVE-2019-9770,GNU LibreDWG堆缓冲区溢出漏洞（CNVD-2019-12548）,GNU LibreDWG 0.7;GNU LibreDWG 0.7.1645;,GNU LibreDWG是GNU计划的一个用于处理DWG文件的C语言库。GNU LibreDWG 0.7版本和0.7.1645版本中的decode.c文件的‘dwg_decode_eed_data’函数存在缓冲区溢出漏洞。攻击者可利用该漏洞执行代码或造成拒绝服务。,通用型漏洞,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-9770,厂商尚未提供漏洞修复方案，请关注厂商主页更新：https://savannah.gnu.org/projects/libredwg/
